data,mandante,placar_m,placar_v,visitante,p_m,p_v,tc_m,tc_v,cg_m,cg_v,d_m,d_v,local,campeonato,links
2021-07-18,Atlético-GO,0,3,Palmeiras,0.58,0.42,11,15,1,6,0.46,0.54,Estádio Serra Dourada,Brasileirão Série A,/pt-br/match/2204778
2021-07-18,Chapecoense,2,3,Cuiabá,0.41,0.59,11,11,6,6,0.51,0.49,Arena Condá,Brasileirão Série A,/pt-br/match/2204781
2021-07-17,Fluminense,0,1,Grêmio,0.57,0.43,10,8,2,1,0.46,0.54,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204783
2021-07-17,Corinthians,1,2,Atlético-MG,0.37,0.63,12,13,2,8,0.59,0.41,Neo Química Arena,Brasileirão Série A,/pt-br/match/2204782
2021-07-17,Ceará,1,0,Athletico Paranaense,0.53,0.47,21,9,4,1,0.61,0.4,Castelão,Brasileirão Série A,/pt-br/match/2204780
2021-07-17,São Paulo,0,1,Fortaleza,0.59,0.41,10,9,3,4,0.45,0.55,Estadio Cicero Pompeu de Toledo (Morumbi),Brasileirão Série A,/pt-br/match/2204786
2021-11-07,Fortaleza,1,0,Corinthians,0.43,0.57,16,7,4,1,0.52,0.48,Castelão,Brasileirão Série A,/pt-br/match/2204771
2021-11-07,Cuiabá,2,2,Ceará,0.41,0.59,11,20,3,7,0.47,0.53,Arena Pantanal,Brasileirão Série A,/pt-br/match/2204769
2021-11-07,Flamengo,2,1,Chapecoense,0.72,0.28,24,13,7,4,0.5,0.5,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204770
2021-11-07,Juventude,1,1,Atlético-GO,0.51,0.49,15,8,3,4,0.51,0.5,Alfredo Jaconi,Brasileirão Série A,/pt-br/match/2204773
2021-10-07,América-MG,0,1,Atlético-MG,0.49,0.51,12,13,2,5,0.46,0.54,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2204767
2021-10-07,Sport Recife,1,2,Fluminense,0.49,0.51,11,13,3,9,0.44,0.56,Ilha do Retiro,Brasileirão Série A,/pt-br/match/2204775
2021-10-07,São Paulo,1,0,Bahia,0.63,0.37,15,6,6,2,0.47,0.53,Estadio Cicero Pompeu de Toledo (Morumbi),Brasileirão Série A,/pt-br/match/2204776
